Partido,Fecha_Hora_Colombia,Liga,Tipo_Mercado,Mercado,Mejor_Cuota,Mejor_Casa,Num_Casas,Score_Final,Diferencia_Cuota_Promedio,Volatilidad_Pct,Margen_Casa_Pct,Cuota_Promedio_Mercado,Todas_Las_Cuotas,Confianza,Marcador,Resultado,Estado_Partido,Fuente_Web,Actualizado_Web_UTC
Almería vs Burgos CF,2025-12-14 12:30:00,La Liga 2,Doble Chance,X2,2.1,pinnacle,4,0.8129,0.09,3.34,4.17,2.01,pinnacle:2.1; marathonbet:2.04; betsson:1.98; codere_it:1.92,61.28,1-2,Acertado,,,
Fatih Karagümrük vs Kocaelispor,2025-12-14 09:00:00,Super League,Doble Chance,X2,1.34,betsson,4,-0.074,0.0025,0.32,6.35,1.3375,betsson:1.34; pinnacle:1.34; codere_it:1.34; marathonbet:1.33,61.28,1-1,Acertado,,,
West Ham United vs Aston Villa,2025-12-14 09:00:00,EPL,Doble Chance,X2,1.31,marathonbet,4,0.2437,0.01,0.54,3.2,1.3,marathonbet:1.31; pinnacle:1.3; codere_it:1.3; betsson:1.29,61.18,2-3,Acertado,,,
Legia Warszawa vs Piast Gliwice,2025-12-14 14:15:00,Ekstraklasa,Doble Chance,X2,1.82,pinnacle,4,0.7574,0.0575,2.14,4.41,1.7625,pinnacle:1.82; marathonbet:1.77; betsson:1.74; codere_it:1.72,61.03,0-1,Acertado,,,
FC Zwolle vs Fortuna Sittard,2025-12-13 15:00:00,Eredivisie,Doble Chance,X2,1.56,pinnacle,4,0.6557,0.035,1.64,3.34,1.525,pinnacle:1.56; betsson:1.53; codere_it:1.52; marathonbet:1.49,60.86,1-0,Fallido,,,
FC Blau-Weiß Linz vs Rapid Wien,2025-12-14 08:30:00,Austrian Bundesliga,Goles (Over/Under),Over 2.5,2.03,pinnacle,3,0.6024,0.04,1.48,3.32,1.99,pinnacle:2.03; betsson:1.98; codere_it:1.96,60.85,1-1,Fallido,,,
Motor Lublin vs Jagiellonia Białystok,2025-12-14 11:30:00,Ekstraklasa,Doble Chance,X2,1.54,pinnacle,4,0.7687,0.0575,2.45,4.54,1.4825,pinnacle:1.54; marathonbet:1.48; betsson:1.47; codere_it:1.44,60.65,1-1,Acertado,,,
Nottingham Forest vs Tottenham Hotspur,2025-12-14 09:00:00,EPL,Goles (Over/Under),Under 2.5,1.85,pinnacle,3,1.0848,0.0533,2.15,2.83,1.7967,pinnacle:1.85; betsson:1.78; codere_it:1.76,60.46,3-0,Fallido,,,
Bologna vs Juventus,2025-12-14 14:45:00,Serie A,Doble Chance,X2,1.44,marathonbet,4,0.2593,0.0125,0.58,3.24,1.4275,marathonbet:1.44; pinnacle:1.43; codere_it:1.42; betsson:1.42,60.29,0-1,Acertado,,,
SC Freiburg vs Borussia Dortmund,2025-12-14 09:30:00,Bundesliga,Doble Chance,X2,1.36,pinnacle,4,0.2909,0.0075,0.61,3.3,1.3525,pinnacle:1.36; marathonbet:1.36; betsson:1.35; codere_it:1.34,60.28,1-1,Acertado,,,
Fatih Karagümrük vs Kocaelispor,2025-12-14 09:00:00,Super League,Goles (Over/Under),Over 2.5,2.07,betsson,2,0.2,0.01,0.49,6.45,2.06,betsson:2.07; codere_it:2.05,59.51,1-1,Fallido,,,
Sunderland vs Newcastle United,2025-12-14 09:00:00,EPL,Goles (Over/Under),Over 2.5,2.05,pinnacle,3,0.3675,0.0133,0.93,2.83,2.0367,pinnacle:2.05; betsson:2.05; codere_it:2.01,58.84,1-0,Fallido,,,
FC Schalke 04 vs 1. FC Nürnberg,2025-12-14 07:30:00,Bundesliga 2,Doble Chance,X2,2.09,pinnacle,4,0.6496,0.0575,1.95,3.91,2.0325,pinnacle:2.09; marathonbet:2.04; codere_it:2.02; betsson:1.98,58.83,1-0,Fallido,,,
Pescara vs Frosinone,2025-12-14 11:15:00,Serie B,Doble Chance,X2,1.26,pinnacle,4,0.5659,0.02,1.28,4.17,1.24,pinnacle:1.26; codere_it:1.25; marathonbet:1.23; betsson:1.22,58.69,1-2,Acertado,,,
Raków Częstochowa vs Zagłębie Lubin,2025-12-14 08:45:00,Ekstraklasa,Doble Chance,X2,2.27,pinnacle,4,0.5172,0.025,1.02,4.93,2.245,pinnacle:2.27; betsson:2.26; marathonbet:2.24; codere_it:2.21,58.48,0-1,Acertado,,,
Moreirense FC vs Benfica,2025-12-14 13:00:00,Primeira Liga,Doble Chance,X2,1.07,pinnacle,3,0.3982,0.01,0.77,4.57,1.06,pinnacle:1.07; marathonbet:1.06; betsson:1.05,58.41,0-4,Acertado,,,
Famalicão vs Estoril,2025-12-14 10:30:00,Primeira Liga,Goles (Over/Under),Over 2.5,1.87,pinnacle,2,0.5086,0.025,1.36,3.48,1.845,pinnacle:1.87; betsson:1.82,58.36,4-0,Acertado,,,
FC Lugano vs Servette,2025-12-14 10:30:00,Swiss Superleague,Doble Chance,X2,1.7,pinnacle,4,0.625,0.04,1.86,3.92,1.66,pinnacle:1.7; codere_it:1.68; marathonbet:1.63; betsson:1.63,58.33,4-2,Fallido,,,
